turismoi_slug_place|turismoi_city_name|turismoi_country|turismoi_latitude|turismoi_longitude|travelC_provider_code|travelC_city_name|travelC_country|travelC_latitude|travelC_longitude
barcelona|Barcelona|SPAIN (ES)|41.385|2.1734|BCN|Barcelona|BCN|41.385064|2.1734035
buenos-aires|Buenos Aires|ARGENTINA (AR)|NULL|NULL|BUE|Buenos Aires|EZE|-34.603333|-58.381667
santo-domingo-24275|Santo Domingo|PANAMA (PA)|NULL|NULL|DOM|Santo Domingo|SDQ|18.466667|-69.95
ica|Ica|PERU (PE)|-14.064|-75.7291|ICA|Ica|NZA|-14.066667|-75.733333
lima|Lima|PERU (PE)|-12.046|-77.0307|LIM|Lima|LIM|-12.043333|-77.028333
la-paz-26016|La Paz|BOLIVIA (BO)|NULL|NULL|LPB|La Paz |LPB|-16.5|-68.15
madrid|Madrid|SPAIN (ES)|40.4167|-3.7037|MAD|Madrid|MAD|40.416775|-3.7037902
quito|Quito|ECUADOR (EC)|NULL|NULL|UIO|Quito|UIO|-0.233333|-78.516667
jaen|Jaén|PERU (PE)|-5.70876|-78.8077|809|Jaén |JAE|-5.709441|-78.798618
asuncion|Asunción|PARAGUAY (PY)|NULL|NULL|ASU|Asunción|ASU|-25.30606980862828|-57.60477866859958
barranquilla|Barranquilla|COLOMBIA (CO)|NULL|NULL|BAQ|Barranquilla|BAQ|10.963889|-74.796389
medellin|Medellín|COLOMBIA (CO)|NULL|NULL|MDE|Medellin|MDE|6.230833|-75.590556
mar-del-plata|Mar del Plata|ARGENTINA (AR)|NULL|NULL|MDQ|Mar del Plata|MDQ|-38.0|-57.55
monterrey|Monterrey|MEXICO (MX)|NULL|NULL|MON|Monterrey|MTY|25.675575438448007|-100.31664177054398
la-palma|La Palma|SPAIN (ES)|NULL|NULL|SPC|La Palma|SPC|28.683989|-17.764575
sevilla|Sevilla|SPAIN (ES)|37.389|-5.9844|SVQ|Sevilla|SVQ|37.388681389440265|-5.995313277219566
ushuaia|Ushuaia|ARGENTINA (AR)|NULL|NULL|USH|Ushuaia|USH|-54.8|-68.3
valencia|Valencia|SPAIN (ES)|39.4699|-0.3762|VLC|Valencia|VLC|39.4699075|-0.3762881
tarma|Tarma|PERU (PE)|-11.4201|-75.6876|TAR-1|Tarma|JAU|-11.419335|-75.688949
bilbao|Bilbao|SPAIN (ES)|43.263|-2.9349|BIO-99|Bilbao|BIO|43.256944|-2.923611
palma-de-mallorca|Palma de Mallorca|SPAIN (ES)|39.5696|2.6501|PMI-10|Palma de Mallorca|PMI|39.574997872470774|2.6525115966796875
entre-rios|Entre Ríos|ARGENTINA (AR)|NULL|NULL|TOUENT|Entre Ríos|PRA|-32.0477|NULL
limon|Limón|COSTA RICA (CR)|NULL|NULL|510|Limon|LIO|9.963116|-83.025276
almirante|Almirante|PANAMA (PA)|NULL|NULL|671|Almirante|BOC|9.297918|-82.421102
jauja|Jauja|PERU (PE)|-11.7753|-75.5|923|Jauja|LIM|-11.780624|-75.486903
albacete|Albacete|SPAIN (ES)|38.9944|-1.8585|ABC|Albacete|ALC|38.994349|-1.858542
aguascalientes|Aguascalientes|MEXICO (MX)|NULL|NULL|AGU|Aguascalientes|AGU|21.878990179023532|-102.29341674785229
antofagasta|Antofagasta|CHILE (CL)|NULL|NULL|ANF|Antofagasta|LSC|-23.650928|-70.397502
arequipa|Arequipa|PERU (PE)|-16.3988|-71.5369|AQP|Arequipa|AQP|-16.383333|-71.533333
arica|Arica|CHILE (CL)|-18.4782|-70.3125|ARI|Arica|ARI|-18.478253|-70.312599
san-pedro-de-atacama|San Pedro de Atacama|CHILE (CL)|NULL|NULL|AT4|San Pedro de Atacama|CJC|-22.908707|-68.199716
san-carlos-de-bariloche|San Carlos de Bariloche|ARGENTINA (AR)|NULL|NULL|BCH|San Carlos de Bariloche|BRC|-41.13936457644674|-71.31362915039064
badajoz|Badajoz|SPAIN (ES)|38.8794|-6.9706|BJZ|Badajoz|BJZ|38.879449|-6.970654
cochabamba|Cochabamba|BOLIVIA (BO)|NULL|NULL|CBB|Cochabamba|CBB|-17.38|-66.17
cuenca|Cuenca|SPAIN (ES)|40.0703|-2.1374|CCA|Cuenca|MAD|40.070392|-2.137416
colonia-del-sacramento|Colonia del Sacramento|URUGUAY (UY)|NULL|NULL|CDT|Colonia del Sacramento|CYR|-34.460719|-57.83391
chiclayo|Chiclayo|PERU (PE)|-6.76034|-79.835|CIX|Chiclayo|CIX|-6.776597|-79.844298
cajamarca|Cajamarca|PERU (PE)|-7.15704|-78.5175|CJA|Cajamarca|CJA|-7.164444|-78.510556
calama|Calama|CHILE (CL)|NULL|NULL|CJC|Calama|CJC|-22.454392|-68.929382
cali|Cali|COLOMBIA (CO)|NULL|NULL|CLO|Cali|CLO|3.420556|-76.522222
camaguey|Camagüey|CUBA (CU)|NULL|NULL|CMG|Camagüey|CMW|21.392603|-77.905318
cordoba|Córdoba|ARGENTINA (AR)|NULL|NULL|CRD|Córdoba|COR|-31.416667|-64.183333
ciudad-real|Ciudad Real|SPAIN (ES)|38.9831|-3.9671|CRE|Ciudad Real|CQM|38.984829|-3.927378
cartagena|Cartagena de Indias|COLOMBIA (CO)|NULL|NULL|CTG|Cartagena de Indias|CTG|10.4|-75.5
cucuta|Cúcuta|COLOMBIA (CO)|NULL|NULL|CUC|Cucuta|CUC|7.9075|-72.504722
cancun|Cancún|MEXICO (MX)|NULL|NULL|CUN|Cancun|CUN|21.149619289931536|-86.80478630279819
cuernavaca|Cuernavaca|MEXICO (MX)|NULL|NULL|CVJ|Cuernavaca|TLC|18.924209|-99.221566
ensenada|Ensenada|MEXICO (MX)|NULL|NULL|ENS|Ensenada|TIJ|31.861713578881748|-116.62135372601914
